"","site","species","count","site.abundance","rel.abundance","keep"
"1","Banff","Actitis macularius",1,35,0.0285714285714286,TRUE
"2","Banff","Agelaius phoeniceus",1,35,0.0285714285714286,TRUE
"3","Banff","Anas platyrhynchos",1,35,0.0285714285714286,TRUE
"4","Banff","Branta canadensis",7,35,0.2,TRUE
"5","Banff","Bucephala clangula",5,35,0.142857142857143,TRUE
"6","Banff","Catharus ustulatus",1,35,0.0285714285714286,TRUE
"7","Banff","Cinclus mexicanus",6,35,0.171428571428571,TRUE
"8","Banff","Corvus corax",1,35,0.0285714285714286,TRUE
"9","Banff","Cyanocitta stelleri",1,35,0.0285714285714286,TRUE
"10","Banff","Cypseloides niger",5,35,0.142857142857143,TRUE
"11","Banff","Gavia immer",5,35,0.142857142857143,TRUE
"12","Banff","Haliaeetus leucocephalus",1,35,0.0285714285714286,TRUE
"13","Banff","Hirundo rustica",1,35,0.0285714285714286,TRUE
"14","Banff","Hirundo rustica erythrogaster",8,35,0.228571428571429,TRUE
"15","Banff","Histrionicus histrionicus",8,35,0.228571428571429,TRUE
"16","Banff","Junco hyemalis",7,35,0.2,TRUE
"18","Banff","Melospiza lincolnii",1,35,0.0285714285714286,TRUE
"19","Banff","Mergus merganser",1,35,0.0285714285714286,TRUE
"20","Banff","Mergus serrator",1,35,0.0285714285714286,TRUE
"21","Banff","Molothrus ater",5,35,0.142857142857143,TRUE
"22","Banff","Nucifraga columbiana",9,35,0.257142857142857,TRUE
"23","Banff","Pandion haliaetus",1,35,0.0285714285714286,TRUE
"25","Banff","Perisoreus canadensis",6,35,0.171428571428571,TRUE
"26","Banff","Petrochelidon pyrrhonota",1,35,0.0285714285714286,TRUE
"27","Banff","Pinicola enucleator",1,35,0.0285714285714286,TRUE
"28","Banff","Poecile gambeli",5,35,0.142857142857143,TRUE
"29","Banff","Poecile hudsonicus",1,35,0.0285714285714286,TRUE
"31","Banff","Setophaga coronata auduboni",5,35,0.142857142857143,TRUE
"32","Banff","Spinus pinus",3,35,0.0857142857142857,TRUE
"33","Banff","Spizella passerina",5,35,0.142857142857143,TRUE
"34","Banff","Tachycineta thalassina",1,35,0.0285714285714286,TRUE
"35","Banff","Turdus migratorius",10,35,0.285714285714286,TRUE
"36","Big_bend","Callipepla squamata",1,11,0.0909090909090909,TRUE
"37","Big_bend","Cathartes aura",1,11,0.0909090909090909,TRUE
"38","Big_bend","Chordeiles acutipennis",1,11,0.0909090909090909,TRUE
"39","Big_bend","Chordeiles minor",1,11,0.0909090909090909,TRUE
"40","Big_bend","Coccyzus americanus",1,11,0.0909090909090909,TRUE
"41","Big_bend","Geococcyx californianus",5,11,0.454545454545455,TRUE
"42","Big_bend","Haemorhous mexicanus",1,11,0.0909090909090909,TRUE
"44","Big_bend","Melanerpes aurifrons",1,11,0.0909090909090909,TRUE
"45","Big_bend","Pyrocephalus rubinus",1,11,0.0909090909090909,TRUE
"46","Big_bend","Zenaida asiatica",1,11,0.0909090909090909,TRUE
"47","Grand_bassin","Amphispiza bilineata",1,5,0.2,TRUE
"48","Grand_bassin","Asio flammeus",1,5,0.2,TRUE
"49","Grand_bassin","Chordeiles minor",5,5,1,TRUE
"50","Grand_bassin","Pipilo maculatus",1,5,0.2,TRUE
"51","Grand_bassin","Sayornis saya",1,5,0.2,TRUE
"52","Jasper","Branta canadensis",1,23,0.0434782608695652,TRUE
"53","Jasper","Bucephala clangula",1,23,0.0434782608695652,TRUE
"54","Jasper","Corvus brachyrhynchos",6,23,0.260869565217391,TRUE
"55","Jasper","Cypseloides niger",1,23,0.0434782608695652,TRUE
"56","Jasper","Falcipennis canadensis",1,23,0.0434782608695652,TRUE
"57","Jasper","Gavia immer",7,23,0.304347826086957,TRUE
"58","Jasper","Haliaeetus leucocephalus",5,23,0.217391304347826,TRUE
"59","Jasper","Junco hyemalis",5,23,0.217391304347826,TRUE
"60","Jasper","Lagopus leucura",6,23,0.260869565217391,TRUE
"61","Jasper","Larus delawarensis",1,23,0.0434782608695652,TRUE
"62","Jasper","Loxia leucoptera",5,23,0.217391304347826,TRUE
"63","Jasper","Melospiza lincolnii",1,23,0.0434782608695652,TRUE
"64","Jasper","Molothrus ater",1,23,0.0434782608695652,TRUE
"65","Jasper","Myadestes townsendi",1,23,0.0434782608695652,TRUE
"66","Jasper","Passerella iliaca",1,23,0.0434782608695652,TRUE
"67","Jasper","Perisoreus canadensis",8,23,0.347826086956522,TRUE
"68","Jasper","Pica hudsonia",1,23,0.0434782608695652,TRUE
"69","Jasper","Picoides dorsalis",1,23,0.0434782608695652,TRUE
"70","Jasper","Setophaga coronata",6,23,0.260869565217391,TRUE
"71","Jasper","Spinus pinus",10,23,0.434782608695652,TRUE
"72","Jasper","Surnia ulula",1,23,0.0434782608695652,TRUE
"73","Jasper","Turdus migratorius",5,23,0.217391304347826,TRUE
"74","Jasper","Vireo cassinii",1,23,0.0434782608695652,TRUE
"75","Joshua_tree","Amphispiza bilineata",1,12,0.0833333333333333,TRUE
"76","Joshua_tree","Anas platyrhynchos",1,12,0.0833333333333333,TRUE
"77","Joshua_tree","Aphelocoma californica",1,12,0.0833333333333333,TRUE
