parks,longitude,latitude,min.lat,min.lng,max.lat,max.lng
Quttinirpaaq,-72.1091,81.4672,81.3322,-72.2441,81.6022,-71.9741
Qausuittuq,-100,76,75.865,-100.135,76.135,-99.865
Aulavik,-119.5909,73.7482,73.6132,-119.7259,73.8832,-119.4559
Tuktut_nogait,-121.749,68.8187,68.6837,-121.884,68.9537,-121.614
Nahanni,-125.5005,61.5007,61.3657,-125.6355,61.6357,-125.3655
Wood_buffalo,-112.8764,59.4395,59.3045,-113.0114,59.5745,-112.7414
Jasper,-117.9543,52.8734,52.7384,-118.0893,53.0084,-117.8193
Banff,-115.9281,51.4968,51.3618,-116.0631,51.6318,-115.7931
Waterton_lakes,-113.9167,49.0833,48.9483,-114.0517,49.2183,-113.7817
North_cascades,-121.2985,48.7718,48.6368,-121.4335,48.9068,-121.1635
Mont_rainier,-121.7269,46.88,46.745,-121.8619,47.015,-121.5919
Yellowstone,-110.5885,44.428,44.293,-110.7235,44.563,-110.4535
Grand_bassin,-114.3,38.9833,38.8483,-114.435,39.1183,-114.165
Zion,-113.0263,37.2982,37.1632,-113.1613,37.4332,-112.8913
Joshua_tree,-115.901,33.8734,33.7384,-116.036,34.0084,-115.766
Saguaro,-111.1666,32.2967,32.1617,-111.3016,32.4317,-111.0316
Big_bend,-103.2425,29.1275,28.9925,-103.3775,29.2625,-103.1075
